agradable	angenehm
hermoso	hübsch
doctor {m}	Arzt {m}
Gracias.	Danke.
niño {m} [chico]	Junge {m}
pianista {f}	Pianistin {f}
libro {m}	Buch {n}
¿Quién?	Wer?
dentista {f}	Zahnärztin {f}
conocer a algn [descubrir]	jdn. kennen lernen
idea {f}	Idee {f}
anaranjado	orange
ciudad {f}	Stadt {f}
delgado	mager [dünn]
fácil	einfach
simpático	sympathisch
excepción {f}	Ausnahme {f}
persona {f}	Person {f}
delgado	dünn
pluma {f} [estilográfica]	Füller {m}
aparecer	erscheinen
banco {m}	Bank {f}
mujer {f}	Frau {f}
librería {f}	Buchhandlung {f}
tique {m}	Kassenbon {m}
deuda {f}	Schulden {pl}
estudiante {m} [de universidad]	Student {m}
cansado	müde
ojo {m}	Auge {n}
¡Ven acá! [mex.] [cent.]	Komm her!
inteligente	intelligent
ella [f]	sie [f]
mano {f}	Hand {f}
ventana {f}	Fenster {n}
foto {f}	Foto {n} [schweiz. auch {f}]
muchacha {f}	Mädchen {n}
conversación {f}	Gespräch {n}
delicioso [comida]	lecker
iglesia {f}	Kirche {f}
piel {f}	Haut {f}
hacer ejercicio	Sport treiben
sillón {m} [butaca]	Sessel {m}
espejo {m}	Spiegel {m}
dentista {m}	Zahnarzt {m}
lección {f}	Lektion {f}
taxista {f}	Taxifahrerin {f}
guapo	hübsch
lengua {f} materna	Muttersprache {f}
museo {m}	Museum {n}
café {m} [local]	Café {n}
planta {f}	Pflanze {f}
feo	hässlich
programa {m}	Programm {n}
biblioteca {f}	Bibliothek {f}
maleta {f}	Koffer {m}
sincero	ehrlich
contento	zufrieden
música {f}	Musik {f}
verde	grün
pequeño	klein
culpar a algn	jdn. beschuldigen
cantante {m}	Sänger {m}
frágil	fragil
actitud {f}	Einstellung {f} [Haltung]
gato {m}	Katze {f} [Hauskatze]
rico [adinerado, uso con ser]	reich
vino {m}	Wein {m}
quejarse	meckern [ugs.]
poema {m}	Gedicht {n}
blusa {f}	Bluse {f}
rojo	rot
hotel {m}	Hotel {n}
gerente {f}	Geschäftsführerin {f}
tacaño	geizig
allá	dort [entfernter als allí]
sabroso	schmackhaft
excelente	ausgezeichnet
artista {f}	Künstlerin {f}
niña {f}	Mädchen {n}
pluma {f}	Feder {f}
drama {m}	Drama {n}
¿Verdad?	Wirklich?
encantado	erfreut
triste	traurig
idioma {m}	Sprache {f}
baño {m} [habitación]	Badezimmer {n}
cama {f}	Bett {n}
pobre	arm
amigo {m}	Freund {m} [Freundschaft]
casa {f}	Haus {n}
enfermo	krank
tienda {f}	Laden {m}
lámpara {f}	Lampe {f}
perro {m}	Hund {m}
niño {m}	Kind {n}
mapa {m}	Karte {f} [Landkarte]
problema {m}	Problem {n}
hermano {m}	Bruder {m}
tomate {m}	Tomate {f}
renta {f} [alquiler]	Miete {f}
radio {f}	Radio {n}
puerco {m}	Schwein {n}
blanco	weiß
¡Es un placer conocerle!	Angenehm, Sie kennen zu lernen!
hablante {m} nativo	Muttersprachler {m}
bonito	hübsch
